date	close
31-May-07	17.31
29-Jun-07	17.43
31-Jul-07	18.82
31-Aug-07	19.78
28-Sep-07	21.92
31-Oct-07	27.14
30-Nov-07	26.03
31-Dec-07	28.3
31-Jan-08	19.34
29-Feb-08	17.86
31-Mar-08	20.5
30-Apr-08	24.85
30-May-08	26.96
30-Jun-08	23.92
31-Jul-08	22.71
29-Aug-08	24.22
30-Sep-08	16.24
31-Oct-08	15.37
28-Nov-08	13.24
31-Dec-08	12.19
30-Jan-09	12.88
27-Feb-09	12.76
31-Mar-09	15.02
30-Apr-09	17.98
29-May-09	19.4
30-Jun-09	20.35
31-Jul-09	23.34
31-Aug-09	24.03
30-Sep-09	26.48
30-Oct-09	26.93
30-Nov-09	28.56
31-Dec-09	30.1
29-Jan-10	27.44
26-Feb-10	29.23
31-Mar-10	33.57
30-Apr-10	37.3
31-May-10	36.7
30-Jun-10	35.93
30-Jul-10	36.75
31-Aug-10	34.73
30-Sep-10	40.54
29-Oct-10	43
30-Nov-10	44.45
31-Dec-10	46.08
31-Jan-11	48.47
28-Feb-11	50.46
31-Mar-11	49.79
29-Apr-11	50.02
31-May-11	49.69
30-Jun-11	47.95
29-Jul-11	55.78
31-Aug-11	54.98
30-Sep-11	54.47
31-Oct-11	57.83
30-Nov-11	54.6
30-Dec-11	57.86
31-Jan-12	65.21
29-Feb-12	77.49
30-Mar-12	85.65
30-Apr-12	83.43
31-May-12	82.53
29-Jun-12	83.43
31-Jul-12	87.25
31-Aug-12	95.03
28-Sep-12	95.3
31-Oct-12	85.05
30-Nov-12	83.61
31-Dec-12	76.02
31-Jan-13	65.07
28-Feb-13	63.06
29-Mar-13	63.24
30-Apr-13	63.25
31-May-13	64.25
28-Jun-13	56.65
31-Jul-13	64.65
30-Aug-13	69.6
30-Sep-13	68.11
31-Oct-13	74.67
29-Nov-13	79.44
31-Dec-13	80.15
31-Jan-14	71.51
28-Feb-14	75.18
31-Mar-14	76.68
30-Apr-14	84.3
30-May-14	90.43
30-Jun-14	92.93
31-Jul-14	95.6
29-Aug-14	102.5
30-Sep-14	100.75
31-Oct-14	108
28-Nov-14	118.93
31-Dec-14	110.38
30-Jan-15	117.16
27-Feb-15	128.46
31-Mar-15	124.43
30-Apr-15	125.15
29-May-15	130.28
30-Jun-15	125.43
31-Jul-15	121.3
31-Aug-15	112.76
30-Sep-15	110.3
30-Oct-15	119.5
30-Nov-15	118.3
31-Dec-15	105.26
29-Jan-16	97.34
29-Feb-16	96.69
31-Mar-16	108.99
29-Apr-16	93.74
31-May-16	99.86
30-Jun-16	95.6
29-Jul-16	104.21
31-Aug-16	106.1
30-Sep-16	113.05
31-Oct-16	113.54
30-Nov-16	110.52
30-Dec-16	115.82
31-Jan-17	121.35
28-Feb-17	136.99
31-Mar-17	143.66
28-Apr-17	143.65
29-May-17	153.61
