date	close	company
2-Jun-17	155.45	AAPL
1-Jun-17	153.18	AAPL
31-May-17	152.76	AAPL
30-May-17	153.67	AAPL
26-May-17	153.61	AAPL
25-May-17	153.87	AAPL
24-May-17	153.34	AAPL
23-May-17	153.8	AAPL
22-May-17	153.99	AAPL
19-May-17	153.06	AAPL
18-May-17	152.54	AAPL
17-May-17	150.25	AAPL
16-May-17	155.47	AAPL
15-May-17	155.7	AAPL
12-May-17	156.1	AAPL
11-May-17	153.95	AAPL
10-May-17	153.26	AAPL
9-May-17	153.99	AAPL
8-May-17	153.01	AAPL
5-May-17	148.96	AAPL
4-May-17	146.53	AAPL
3-May-17	147.06	AAPL
2-May-17	147.51	AAPL
1-May-17	146.58	AAPL
28-Apr-17	143.65	AAPL
27-Apr-17	143.79	AAPL
26-Apr-17	143.68	AAPL
25-Apr-17	144.53	AAPL
24-Apr-17	143.64	AAPL
21-Apr-17	142.27	AAPL
20-Apr-17	142.44	AAPL
19-Apr-17	140.68	AAPL
18-Apr-17	141.2	AAPL
17-Apr-17	141.83	AAPL
13-Apr-17	141.05	AAPL
12-Apr-17	141.8	AAPL
11-Apr-17	141.63	AAPL
10-Apr-17	143.17	AAPL
7-Apr-17	143.34	AAPL
6-Apr-17	143.66	AAPL
5-Apr-17	144.02	AAPL
4-Apr-17	144.77	AAPL
3-Apr-17	143.7	AAPL
31-Mar-17	143.66	AAPL
30-Mar-17	143.93	AAPL
29-Mar-17	144.12	AAPL
28-Mar-17	143.8	AAPL
27-Mar-17	140.88	AAPL
24-Mar-17	140.64	AAPL
23-Mar-17	140.92	AAPL
22-Mar-17	141.42	AAPL
21-Mar-17	139.84	AAPL
20-Mar-17	141.46	AAPL
17-Mar-17	139.99	AAPL
16-Mar-17	140.69	AAPL
15-Mar-17	140.46	AAPL
14-Mar-17	138.99	AAPL
13-Mar-17	139.2	AAPL
10-Mar-17	139.14	AAPL
9-Mar-17	138.68	AAPL
8-Mar-17	139	AAPL
7-Mar-17	139.52	AAPL
6-Mar-17	139.34	AAPL
3-Mar-17	139.78	AAPL
2-Mar-17	138.96	AAPL
1-Mar-17	139.79	AAPL
28-Feb-17	136.99	AAPL
27-Feb-17	136.93	AAPL
24-Feb-17	136.66	AAPL
23-Feb-17	136.53	AAPL
22-Feb-17	137.11	AAPL
21-Feb-17	136.7	AAPL
17-Feb-17	135.72	AAPL
16-Feb-17	135.345	AAPL
15-Feb-17	135.51	AAPL
14-Feb-17	135.02	AAPL
13-Feb-17	133.29	AAPL
10-Feb-17	132.12	AAPL
9-Feb-17	132.42	AAPL
8-Feb-17	132.04	AAPL
7-Feb-17	131.53	AAPL
6-Feb-17	130.29	AAPL
3-Feb-17	129.08	AAPL
2-Feb-17	128.53	AAPL
1-Feb-17	128.75	AAPL
31-Jan-17	121.35	AAPL
30-Jan-17	121.63	AAPL
27-Jan-17	121.95	AAPL
26-Jan-17	121.94	AAPL
25-Jan-17	121.88	AAPL
24-Jan-17	119.97	AAPL
23-Jan-17	120.08	AAPL
20-Jan-17	120	AAPL
19-Jan-17	119.78	AAPL
18-Jan-17	119.99	AAPL
17-Jan-17	120	AAPL
13-Jan-17	119.04	AAPL
12-Jan-17	119.25	AAPL
11-Jan-17	119.75	AAPL
10-Jan-17	119.11	AAPL
9-Jan-17	118.99	AAPL
6-Jan-17	117.91	AAPL
5-Jan-17	116.61	AAPL
4-Jan-17	116.02	AAPL
3-Jan-17	116.15	AAPL
30-Dec-16	115.82	AAPL
29-Dec-16	116.73	AAPL
28-Dec-16	116.76	AAPL
27-Dec-16	117.26	AAPL
23-Dec-16	116.52	AAPL
22-Dec-16	116.29	AAPL
21-Dec-16	117.06	AAPL
20-Dec-16	116.95	AAPL
19-Dec-16	116.64	AAPL
16-Dec-16	115.97	AAPL
15-Dec-16	115.82	AAPL
14-Dec-16	115.19	AAPL
13-Dec-16	115.19	AAPL
12-Dec-16	113.3	AAPL
9-Dec-16	113.95	AAPL
8-Dec-16	112.12	AAPL
7-Dec-16	111.03	AAPL
6-Dec-16	109.95	AAPL
5-Dec-16	109.11	AAPL
2-Dec-16	109.9	AAPL
1-Dec-16	109.49	AAPL
30-Nov-16	110.52	AAPL
29-Nov-16	111.46	AAPL
28-Nov-16	111.57	AAPL
25-Nov-16	111.79	AAPL
23-Nov-16	111.23	AAPL
22-Nov-16	111.8	AAPL
21-Nov-16	111.73	AAPL
18-Nov-16	110.06	AAPL
17-Nov-16	109.95	AAPL
16-Nov-16	109.99	AAPL
15-Nov-16	107.11	AAPL
14-Nov-16	105.71	AAPL
11-Nov-16	108.43	AAPL
10-Nov-16	107.79	AAPL
9-Nov-16	110.88	AAPL
8-Nov-16	111.06	AAPL
7-Nov-16	110.41	AAPL
4-Nov-16	108.84	AAPL
3-Nov-16	109.83	AAPL
2-Nov-16	111.59	AAPL
1-Nov-16	111.49	AAPL
31-Oct-16	113.54	AAPL
28-Oct-16	113.72	AAPL
27-Oct-16	114.48	AAPL
26-Oct-16	115.59	AAPL
25-Oct-16	118.25	AAPL
24-Oct-16	117.65	AAPL
21-Oct-16	116.6	AAPL
20-Oct-16	117.06	AAPL
19-Oct-16	117.12	AAPL
18-Oct-16	117.47	AAPL
17-Oct-16	117.55	AAPL
14-Oct-16	117.63	AAPL
13-Oct-16	116.98	AAPL
12-Oct-16	117.34	AAPL
11-Oct-16	116.3	AAPL
10-Oct-16	116.05	AAPL
7-Oct-16	114.06	AAPL
6-Oct-16	113.89	AAPL
5-Oct-16	113.05	AAPL
4-Oct-16	113	AAPL
3-Oct-16	112.52	AAPL
30-Sep-16	113.05	AAPL
29-Sep-16	112.18	AAPL
28-Sep-16	113.95	AAPL
27-Sep-16	113.09	AAPL
26-Sep-16	112.88	AAPL
23-Sep-16	112.71	AAPL
22-Sep-16	114.62	AAPL
21-Sep-16	113.55	AAPL
20-Sep-16	113.57	AAPL
19-Sep-16	113.58	AAPL
16-Sep-16	114.92	AAPL
15-Sep-16	115.57	AAPL
14-Sep-16	111.77	AAPL
13-Sep-16	107.95	AAPL
12-Sep-16	105.44	AAPL
9-Sep-16	103.13	AAPL
8-Sep-16	105.52	AAPL
7-Sep-16	108.36	AAPL
6-Sep-16	107.7	AAPL
2-Sep-16	107.73	AAPL
1-Sep-16	106.73	AAPL
31-Aug-16	106.1	AAPL
30-Aug-16	106	AAPL
29-Aug-16	106.82	AAPL
26-Aug-16	106.94	AAPL
25-Aug-16	107.57	AAPL
24-Aug-16	108.03	AAPL
23-Aug-16	108.85	AAPL
22-Aug-16	108.51	AAPL
19-Aug-16	109.36	AAPL
18-Aug-16	109.08	AAPL
17-Aug-16	109.22	AAPL
16-Aug-16	109.38	AAPL
15-Aug-16	109.48	AAPL
12-Aug-16	108.18	AAPL
11-Aug-16	107.93	AAPL
10-Aug-16	108	AAPL
9-Aug-16	108.81	AAPL
8-Aug-16	108.37	AAPL
5-Aug-16	107.48	AAPL
4-Aug-16	105.87	AAPL
3-Aug-16	105.79	AAPL
2-Aug-16	104.48	AAPL
1-Aug-16	106.05	AAPL
29-Jul-16	104.21	AAPL
28-Jul-16	104.34	AAPL
27-Jul-16	102.95	AAPL
26-Jul-16	96.67	AAPL
25-Jul-16	97.34	AAPL
22-Jul-16	98.66	AAPL
21-Jul-16	99.43	AAPL
20-Jul-16	99.96	AAPL
19-Jul-16	99.87	AAPL
18-Jul-16	99.83	AAPL
15-Jul-16	98.78	AAPL
14-Jul-16	98.79	AAPL
13-Jul-16	96.87	AAPL
12-Jul-16	97.42	AAPL
11-Jul-16	96.98	AAPL
8-Jul-16	96.68	AAPL
7-Jul-16	95.94	AAPL
6-Jul-16	95.53	AAPL
5-Jul-16	94.99	AAPL
1-Jul-16	95.89	AAPL
30-Jun-16	95.6	AAPL
29-Jun-16	94.4	AAPL
28-Jun-16	93.59	AAPL
27-Jun-16	92.04	AAPL
24-Jun-16	93.4	AAPL
23-Jun-16	96.1	AAPL
22-Jun-16	95.55	AAPL
21-Jun-16	95.91	AAPL
20-Jun-16	95.1	AAPL
17-Jun-16	95.33	AAPL
16-Jun-16	97.55	AAPL
15-Jun-16	97.14	AAPL
14-Jun-16	97.46	AAPL
13-Jun-16	97.34	AAPL
10-Jun-16	98.83	AAPL
9-Jun-16	99.65	AAPL
8-Jun-16	98.94	AAPL
7-Jun-16	99.03	AAPL
6-Jun-16	98.63	AAPL
3-Jun-16	97.92	AAPL
2-Jun-16	97.72	AAPL
1-Jun-16	98.46	AAPL
31-May-16	99.86	AAPL
27-May-16	100.35	AAPL
26-May-16	100.41	AAPL
25-May-16	99.62	AAPL
24-May-16	97.9	AAPL
23-May-16	96.43	AAPL
20-May-16	95.22	AAPL
19-May-16	94.2	AAPL
18-May-16	94.56	AAPL
17-May-16	93.49	AAPL
16-May-16	93.88	AAPL
13-May-16	90.52	AAPL
12-May-16	90.34	AAPL
11-May-16	92.51	AAPL
10-May-16	93.42	AAPL
9-May-16	92.79	AAPL
6-May-16	92.72	AAPL
5-May-16	93.24	AAPL
4-May-16	94.19	AAPL
3-May-16	95.18	AAPL
2-May-16	93.64	AAPL
29-Apr-16	93.74	AAPL
28-Apr-16	94.83	AAPL
27-Apr-16	97.82	AAPL
26-Apr-16	104.35	AAPL
25-Apr-16	105.08	AAPL
22-Apr-16	105.68	AAPL
21-Apr-16	105.97	AAPL
20-Apr-16	107.13	AAPL
19-Apr-16	106.91	AAPL
18-Apr-16	107.48	AAPL
15-Apr-16	109.85	AAPL
14-Apr-16	112.1	AAPL
13-Apr-16	112.04	AAPL
12-Apr-16	110.44	AAPL
11-Apr-16	109.02	AAPL
8-Apr-16	108.66	AAPL
7-Apr-16	108.54	AAPL
6-Apr-16	110.96	AAPL
5-Apr-16	109.81	AAPL
4-Apr-16	111.12	AAPL
1-Apr-16	109.99	AAPL
31-Mar-16	108.99	AAPL
30-Mar-16	109.56	AAPL
29-Mar-16	107.68	AAPL
28-Mar-16	105.19	AAPL
24-Mar-16	105.67	AAPL
23-Mar-16	106.13	AAPL
22-Mar-16	106.72	AAPL
21-Mar-16	105.91	AAPL
18-Mar-16	105.92	AAPL
17-Mar-16	105.8	AAPL
16-Mar-16	105.97	AAPL
15-Mar-16	104.58	AAPL
14-Mar-16	102.52	AAPL
11-Mar-16	102.26	AAPL
10-Mar-16	101.17	AAPL
9-Mar-16	101.12	AAPL
8-Mar-16	101.03	AAPL
7-Mar-16	101.87	AAPL
4-Mar-16	103.01	AAPL
3-Mar-16	101.5	AAPL
2-Mar-16	100.75	AAPL
1-Mar-16	100.53	AAPL
29-Feb-16	96.69	AAPL
26-Feb-16	96.91	AAPL
25-Feb-16	96.76	AAPL
24-Feb-16	96.1	AAPL
23-Feb-16	94.69	AAPL
22-Feb-16	96.88	AAPL
19-Feb-16	96.04	AAPL
18-Feb-16	96.26	AAPL
17-Feb-16	98.12	AAPL
16-Feb-16	96.64	AAPL
12-Feb-16	93.99	AAPL
11-Feb-16	93.7	AAPL
10-Feb-16	94.27	AAPL
9-Feb-16	94.99	AAPL
8-Feb-16	95.01	AAPL
5-Feb-16	94.02	AAPL
4-Feb-16	96.6	AAPL
3-Feb-16	96.35	AAPL
2-Feb-16	94.48	AAPL
1-Feb-16	96.43	AAPL
29-Jan-16	97.34	AAPL
28-Jan-16	94.09	AAPL
27-Jan-16	93.42	AAPL
26-Jan-16	99.99	AAPL
25-Jan-16	99.44	AAPL
22-Jan-16	101.42	AAPL
21-Jan-16	96.3	AAPL
20-Jan-16	96.79	AAPL
19-Jan-16	96.66	AAPL
15-Jan-16	97.13	AAPL
14-Jan-16	99.52	AAPL
13-Jan-16	97.39	AAPL
12-Jan-16	99.96	AAPL
11-Jan-16	98.53	AAPL
8-Jan-16	96.96	AAPL
7-Jan-16	96.45	AAPL
6-Jan-16	100.7	AAPL
5-Jan-16	102.71	AAPL
4-Jan-16	105.35	AAPL
31-Dec-15	105.26	AAPL
30-Dec-15	107.32	AAPL
29-Dec-15	108.74	AAPL
28-Dec-15	106.82	AAPL
24-Dec-15	108.03	AAPL
23-Dec-15	108.61	AAPL
22-Dec-15	107.23	AAPL
21-Dec-15	107.33	AAPL
18-Dec-15	106.03	AAPL
17-Dec-15	108.98	AAPL
16-Dec-15	111.34	AAPL
15-Dec-15	110.49	AAPL
14-Dec-15	112.48	AAPL
11-Dec-15	113.18	AAPL
10-Dec-15	116.17	AAPL
9-Dec-15	115.62	AAPL
8-Dec-15	118.23	AAPL
7-Dec-15	118.28	AAPL
4-Dec-15	119.03	AAPL
3-Dec-15	115.2	AAPL
2-Dec-15	116.28	AAPL
1-Dec-15	117.34	AAPL
30-Nov-15	118.3	AAPL
27-Nov-15	117.81	AAPL
25-Nov-15	118.03	AAPL
24-Nov-15	118.88	AAPL
23-Nov-15	117.75	AAPL
20-Nov-15	119.3	AAPL
19-Nov-15	118.78	AAPL
18-Nov-15	117.29	AAPL
17-Nov-15	113.69	AAPL
16-Nov-15	114.175	AAPL
13-Nov-15	112.34	AAPL
12-Nov-15	115.72	AAPL
11-Nov-15	116.11	AAPL
10-Nov-15	116.77	AAPL
9-Nov-15	120.57	AAPL
6-Nov-15	121.06	AAPL
5-Nov-15	120.92	AAPL
4-Nov-15	122	AAPL
3-Nov-15	122.57	AAPL
2-Nov-15	121.18	AAPL
30-Oct-15	119.5	AAPL
29-Oct-15	120.53	AAPL
28-Oct-15	119.27	AAPL
27-Oct-15	114.55	AAPL
26-Oct-15	115.28	AAPL
23-Oct-15	119.08	AAPL
22-Oct-15	115.5	AAPL
21-Oct-15	113.76	AAPL
20-Oct-15	113.77	AAPL
19-Oct-15	111.73	AAPL
16-Oct-15	111.04	AAPL
15-Oct-15	111.86	AAPL
14-Oct-15	110.21	AAPL
13-Oct-15	111.79	AAPL
12-Oct-15	111.6	AAPL
9-Oct-15	112.12	AAPL
8-Oct-15	109.5	AAPL
7-Oct-15	110.78	AAPL
6-Oct-15	111.31	AAPL
5-Oct-15	110.78	AAPL
2-Oct-15	110.38	AAPL
1-Oct-15	109.58	AAPL
30-Sep-15	110.3	AAPL
29-Sep-15	109.06	AAPL
28-Sep-15	112.44	AAPL
25-Sep-15	114.71	AAPL
24-Sep-15	115	AAPL
23-Sep-15	114.32	AAPL
22-Sep-15	113.4	AAPL
21-Sep-15	115.21	AAPL
18-Sep-15	113.45	AAPL
17-Sep-15	113.92	AAPL
16-Sep-15	116.41	AAPL
15-Sep-15	116.28	AAPL
14-Sep-15	115.31	AAPL
11-Sep-15	114.21	AAPL
10-Sep-15	112.57	AAPL
9-Sep-15	110.15	AAPL
8-Sep-15	112.31	AAPL
4-Sep-15	109.27	AAPL
3-Sep-15	110.37	AAPL
2-Sep-15	112.34	AAPL
1-Sep-15	107.72	AAPL
31-Aug-15	112.76	AAPL
28-Aug-15	113.29	AAPL
27-Aug-15	112.92	AAPL
26-Aug-15	109.69	AAPL
25-Aug-15	103.74	AAPL
24-Aug-15	103.12	AAPL
21-Aug-15	105.76	AAPL
20-Aug-15	112.65	AAPL
19-Aug-15	115.01	AAPL
18-Aug-15	116.5	AAPL
17-Aug-15	117.16	AAPL
