date	close	company
3-Jan-05	451000	KRX005930
4-Jan-05	447000	KRX005930
5-Jan-05	443000	KRX005930
6-Jan-05	435000	KRX005930
7-Jan-05	440500	KRX005930
10-Jan-05	438000	KRX005930
11-Jan-05	442000	KRX005930
12-Jan-05	442000	KRX005930
13-Jan-05	444000	KRX005930
14-Jan-05	471500	KRX005930
17-Jan-05	492500	KRX005930
18-Jan-05	486000	KRX005930
19-Jan-05	480000	KRX005930
20-Jan-05	480000	KRX005930
21-Jan-05	486000	KRX005930
24-Jan-05	488000	KRX005930
25-Jan-05	483500	KRX005930
26-Jan-05	490500	KRX005930
27-Jan-05	492000	KRX005930
28-Jan-05	489000	KRX005930
31-Jan-05	495000	KRX005930
1-Feb-05	491500	KRX005930
2-Feb-05	490500	KRX005930
3-Feb-05	496000	KRX005930
4-Feb-05	495500	KRX005930
7-Feb-05	510000	KRX005930
8-Feb-05	510000	KRX005930
9-Feb-05	510000	KRX005930
10-Feb-05	510000	KRX005930
11-Feb-05	506000	KRX005930
14-Feb-05	517000	KRX005930
15-Feb-05	519000	KRX005930
16-Feb-05	520000	KRX005930
17-Feb-05	517000	KRX005930
18-Feb-05	527000	KRX005930
21-Feb-05	528000	KRX005930
22-Feb-05	522000	KRX005930
23-Feb-05	511000	KRX005930
24-Feb-05	519000	KRX005930
25-Feb-05	522000	KRX005930
28-Feb-05	527000	KRX005930
1-Mar-05	527000	KRX005930
2-Mar-05	517000	KRX005930
3-Mar-05	519000	KRX005930
4-Mar-05	510000	KRX005930
7-Mar-05	507000	KRX005930
8-Mar-05	502000	KRX005930
9-Mar-05	500000	KRX005930
10-Mar-05	499500	KRX005930
11-Mar-05	519000	KRX005930
14-Mar-05	510000	KRX005930
15-Mar-05	502000	KRX005930
16-Mar-05	503000	KRX005930
17-Mar-05	496000	KRX005930
18-Mar-05	495000	KRX005930
21-Mar-05	492000	KRX005930
22-Mar-05	496000	KRX005930
23-Mar-05	498500	KRX005930
24-Mar-05	503000	KRX005930
25-Mar-05	505000	KRX005930
28-Mar-05	510000	KRX005930
29-Mar-05	502000	KRX005930
30-Mar-05	498000	KRX005930
31-Mar-05	502000	KRX005930
1-Apr-05	512000	KRX005930
4-Apr-05	517000	KRX005930
5-Apr-05	517000	KRX005930
6-Apr-05	518000	KRX005930
7-Apr-05	518000	KRX005930
8-Apr-05	522000	KRX005930
11-Apr-05	517000	KRX005930
12-Apr-05	520000	KRX005930
13-Apr-05	518000	KRX005930
14-Apr-05	502000	KRX005930
15-Apr-05	491500	KRX005930
18-Apr-05	476000	KRX005930
19-Apr-05	474000	KRX005930
20-Apr-05	470000	KRX005930
21-Apr-05	466000	KRX005930
22-Apr-05	467000	KRX005930
25-Apr-05	474500	KRX005930
26-Apr-05	471000	KRX005930
27-Apr-05	464000	KRX005930
28-Apr-05	460000	KRX005930
29-Apr-05	452000	KRX005930
2-May-05	455500	KRX005930
3-May-05	455000	KRX005930
4-May-05	464500	KRX005930
5-May-05	464500	KRX005930
6-May-05	474000	KRX005930
9-May-05	475000	KRX005930
10-May-05	477000	KRX005930
11-May-05	472000	KRX005930
12-May-05	475000	KRX005930
13-May-05	481500	KRX005930
16-May-05	488000	KRX005930
17-May-05	489500	KRX005930
18-May-05	489500	KRX005930
19-May-05	498500	KRX005930
20-May-05	498500	KRX005930
23-May-05	498000	KRX005930
24-May-05	495000	KRX005930
25-May-05	484500	KRX005930
26-May-05	482000	KRX005930
27-May-05	490000	KRX005930
30-May-05	493500	KRX005930
31-May-05	489000	KRX005930
1-Jun-05	489000	KRX005930
2-Jun-05	487500	KRX005930
3-Jun-05	488000	KRX005930
6-Jun-05	488000	KRX005930
7-Jun-05	480500	KRX005930
8-Jun-05	477500	KRX005930
9-Jun-05	480000	KRX005930
10-Jun-05	491500	KRX005930
13-Jun-05	498000	KRX005930
14-Jun-05	496500	KRX005930
15-Jun-05	500000	KRX005930
16-Jun-05	498500	KRX005930
17-Jun-05	493500	KRX005930
20-Jun-05	490500	KRX005930
21-Jun-05	488000	KRX005930
22-Jun-05	493000	KRX005930
23-Jun-05	498000	KRX005930
24-Jun-05	491000	KRX005930
27-Jun-05	488500	KRX005930
28-Jun-05	489500	KRX005930
29-Jun-05	490000	KRX005930
30-Jun-05	494000	KRX005930
1-Jul-05	501000	KRX005930
4-Jul-05	503000	KRX005930
5-Jul-05	502000	KRX005930
6-Jul-05	504000	KRX005930
7-Jul-05	516000	KRX005930
8-Jul-05	516000	KRX005930
11-Jul-05	533000	KRX005930
12-Jul-05	541000	KRX005930
13-Jul-05	547000	KRX005930
14-Jul-05	547000	KRX005930
15-Jul-05	542000	KRX005930
18-Jul-05	549000	KRX005930
19-Jul-05	561000	KRX005930
20-Jul-05	558000	KRX005930
21-Jul-05	563000	KRX005930
22-Jul-05	552000	KRX005930
25-Jul-05	555000	KRX005930
26-Jul-05	551000	KRX005930
27-Jul-05	551000	KRX005930
28-Jul-05	560000	KRX005930
29-Jul-05	565000	KRX005930
1-Aug-05	569000	KRX005930
2-Aug-05	568000	KRX005930
3-Aug-05	568000	KRX005930
4-Aug-05	566000	KRX005930
5-Aug-05	553000	KRX005930
8-Aug-05	551000	KRX005930
9-Aug-05	550000	KRX005930
10-Aug-05	555000	KRX005930
11-Aug-05	567000	KRX005930
12-Aug-05	578000	KRX005930
15-Aug-05	578000	KRX005930
16-Aug-05	572000	KRX005930
17-Aug-05	572000	KRX005930
18-Aug-05	555000	KRX005930
19-Aug-05	553000	KRX005930
22-Aug-05	563000	KRX005930
23-Aug-05	562000	KRX005930
24-Aug-05	556000	KRX005930
25-Aug-05	552000	KRX005930
26-Aug-05	549000	KRX005930
29-Aug-05	540000	KRX005930
30-Aug-05	541000	KRX005930
31-Aug-05	544000	KRX005930
1-Sep-05	549000	KRX005930
2-Sep-05	554000	KRX005930
5-Sep-05	561000	KRX005930
6-Sep-05	569000	KRX005930
7-Sep-05	579000	KRX005930
8-Sep-05	587000	KRX005930
9-Sep-05	589000	KRX005930
12-Sep-05	589000	KRX005930
13-Sep-05	606000	KRX005930
14-Sep-05	613000	KRX005930
15-Sep-05	607000	KRX005930
16-Sep-05	593000	KRX005930
19-Sep-05	593000	KRX005930
20-Sep-05	593000	KRX005930
21-Sep-05	601000	KRX005930
22-Sep-05	600000	KRX005930
23-Sep-05	585000	KRX005930
26-Sep-05	597000	KRX005930
27-Sep-05	593000	KRX005930
28-Sep-05	598000	KRX005930
29-Sep-05	593000	KRX005930
30-Sep-05	588000	KRX005930
3-Oct-05	588000	KRX005930
4-Oct-05	603000	KRX005930
5-Oct-05	601000	KRX005930
6-Oct-05	587000	KRX005930
7-Oct-05	583000	KRX005930
10-Oct-05	593000	KRX005930
11-Oct-05	598000	KRX005930
12-Oct-05	578000	KRX005930
13-Oct-05	565000	KRX005930
14-Oct-05	565000	KRX005930
17-Oct-05	563000	KRX005930
18-Oct-05	566000	KRX005930
19-Oct-05	552000	KRX005930
20-Oct-05	556000	KRX005930
21-Oct-05	564000	KRX005930
